time,temp,ambient light,conduct
2017-02-26 23:03:51,242,11,0
2017-02-26 23:03:52,242,11,0
2017-02-26 23:03:53,242,11,0
2017-02-26 23:03:54,242,11,0
2017-02-26 23:03:55,242,11,0
2017-02-26 23:03:56,242,11,0
2017-02-26 23:03:57,243,11,0
2017-02-26 23:03:58,242,11,0
2017-02-26 23:03:59,242,11,0
2017-02-26 23:04:00,242,11,0
2017-02-26 23:04:01,243,11,0
2017-02-26 23:04:02,243,11,0
2017-02-26 23:04:04,243,11,0
2017-02-26 23:04:05,243,11,0
2017-02-26 23:04:06,243,11,0
2017-02-26 23:04:07,243,11,0
2017-02-26 23:04:08,243,11,0
2017-02-26 23:04:09,243,11,0
2017-02-26 23:04:10,243,11,0
2017-02-26 23:04:11,243,11,0
2017-02-26 23:04:12,243,11,0
2017-02-26 23:04:13,243,9,0
2017-02-26 23:04:14,243,11,0
2017-02-26 23:04:15,243,11,0
2017-02-26 23:04:16,243,11,0
2017-02-26 23:04:17,243,11,0
2017-02-26 23:04:18,243,11,0
2017-02-26 23:04:19,243,11,0
2017-02-26 23:04:20,243,11,0
2017-02-26 23:04:21,243,11,0
2017-02-26 23:04:22,243,11,0
2017-02-26 23:04:23,242,11,0
2017-02-26 23:04:24,242,11,0
2017-02-26 23:04:25,242,11,0
2017-02-26 23:04:26,242,11,0
2017-02-26 23:04:27,242,11,0
2017-02-26 23:04:28,242,11,0
2017-02-26 23:04:29,242,11,0
2017-02-26 23:04:30,242,11,0
2017-02-26 23:04:31,242,11,0
2017-02-26 23:04:32,243,11,0
2017-02-26 23:04:33,243,11,0
2017-02-26 23:04:34,243,11,0
2017-02-26 23:04:35,243,11,0
2017-02-26 23:04:36,242,11,0
2017-02-26 23:04:37,242,11,0
2017-02-26 23:04:39,242,11,0
2017-02-26 23:04:40,242,11,0
2017-02-26 23:04:41,242,11,0
2017-02-26 23:04:42,242,11,0
2017-02-26 23:04:43,242,11,0
2017-02-26 23:04:44,242,11,0
2017-02-26 23:04:45,242,11,0
2017-02-26 23:04:46,242,11,0
2017-02-26 23:04:47,242,11,0
2017-02-26 23:04:48,242,11,0
2017-02-26 23:04:49,242,11,0
2017-02-26 23:04:50,242,11,0
2017-02-26 23:04:51,242,11,0
2017-02-26 23:04:52,242,11,0
2017-02-26 23:04:53,242,11,0
2017-02-26 23:04:54,243,11,0
2017-02-26 23:04:55,242,11,0
2017-02-26 23:04:56,242,11,0
2017-02-26 23:04:57,242,11,0
2017-02-26 23:04:58,242,11,0
2017-02-26 23:04:59,242,11,0
2017-02-26 23:05:00,242,11,0
2017-02-26 23:05:01,242,11,0
2017-02-26 23:05:02,242,11,0
2017-02-26 23:05:03,242,11,0
2017-02-26 23:05:04,242,11,0
2017-02-26 23:05:05,242,9,0
2017-02-26 23:05:06,242,9,0
2017-02-26 23:05:07,242,9,0
2017-02-26 23:05:08,242,9,0
2017-02-26 23:05:09,242,9,0
2017-02-26 23:05:10,242,9,0
2017-02-26 23:05:11,242,9,0
2017-02-26 23:05:13,242,9,0
2017-02-26 23:05:14,242,9,0
2017-02-26 23:05:15,243,9,0
2017-02-26 23:05:16,243,9,0
2017-02-26 23:05:17,243,9,0
2017-02-26 23:05:18,243,9,0
2017-02-26 23:05:19,243,9,0
2017-02-26 23:05:20,243,9,0
2017-02-26 23:05:21,242,9,0
2017-02-26 23:05:22,242,9,0
2017-02-26 23:05:23,242,9,0
2017-02-26 23:05:24,242,9,0
2017-02-26 23:05:25,242,9,0
2017-02-26 23:05:26,241,9,0
2017-02-26 23:05:27,241,9,0
2017-02-26 23:05:28,241,9,0
2017-02-26 23:05:29,240,9,0
2017-02-26 23:05:30,240,9,0
2017-02-26 23:05:31,241,9,0
2017-02-26 23:05:32,241,9,0
2017-02-26 23:05:33,241,9,0
2017-02-26 23:05:34,241,9,0
2017-02-26 23:05:35,241,9,0
2017-02-26 23:05:36,241,9,0
2017-02-26 23:05:37,241,9,0
2017-02-26 23:05:38,241,9,0
2017-02-26 23:05:39,241,9,0
2017-02-26 23:05:40,241,9,0
2017-02-26 23:05:41,241,9,0
2017-02-26 23:05:42,240,9,0
2017-02-26 23:05:43,240,9,0
2017-02-26 23:05:44,240,9,0
2017-02-26 23:05:45,240,9,0
2017-02-26 23:05:46,240,9,0
2017-02-26 23:05:47,240,9,0
2017-02-26 23:05:49,240,9,0
2017-02-26 23:05:50,241,9,0
2017-02-26 23:05:51,241,9,0
2017-02-26 23:05:52,241,9,0
2017-02-26 23:05:53,241,9,0
2017-02-26 23:05:54,241,9,0
2017-02-26 23:05:55,241,9,0
2017-02-26 23:05:56,241,11,0
2017-02-26 23:05:57,241,11,0
2017-02-26 23:05:58,241,11,0
2017-02-26 23:05:59,242,11,0
2017-02-26 23:06:00,242,11,0
2017-02-26 23:06:01,242,11,0
2017-02-26 23:06:02,242,11,0
2017-02-26 23:06:03,242,11,0
2017-02-26 23:06:04,242,11,0
2017-02-26 23:06:05,242,11,0
2017-02-26 23:06:06,242,11,0
2017-02-26 23:06:07,242,11,0
2017-02-26 23:06:08,242,11,0
2017-02-26 23:06:09,242,11,0
2017-02-26 23:06:10,242,11,0
2017-02-26 23:06:11,242,11,0
2017-02-26 23:06:12,242,11,0
2017-02-26 23:06:13,242,11,0
2017-02-26 23:06:14,242,11,0
2017-02-26 23:06:15,242,11,0
2017-02-26 23:06:16,242,11,0
2017-02-26 23:06:17,242,11,0
2017-02-26 23:06:18,242,11,0
2017-02-26 23:06:19,242,11,0
2017-02-26 23:06:20,242,11,0
2017-02-26 23:06:21,242,11,0
2017-02-26 23:06:23,242,11,0
2017-02-26 23:06:24,242,11,0
2017-02-26 23:06:25,242,11,0
2017-02-26 23:06:26,242,11,0
2017-02-26 23:06:27,242,11,0
2017-02-26 23:06:28,242,11,0
2017-02-26 23:06:29,242,11,0
2017-02-26 23:06:30,242,11,0
2017-02-26 23:06:31,242,11,0
2017-02-26 23:06:32,242,11,0
2017-02-26 23:06:33,241,11,0
2017-02-26 23:06:34,241,11,0
2017-02-26 23:06:35,241,11,0
2017-02-26 23:06:36,241,11,0
2017-02-26 23:06:37,240,9,0
2017-02-26 23:06:38,241,9,0
2017-02-26 23:06:39,241,9,0
2017-02-26 23:06:40,241,9,0
2017-02-26 23:06:41,241,9,0
2017-02-26 23:06:42,241,9,0
2017-02-26 23:06:43,241,9,0
2017-02-26 23:06:44,242,9,0
2017-02-26 23:06:45,242,9,0
2017-02-26 23:06:46,242,9,0
2017-02-26 23:06:47,242,9,0
2017-02-26 23:06:48,242,9,0
2017-02-26 23:06:49,242,9,0
2017-02-26 23:06:50,242,9,0
2017-02-26 23:06:51,242,9,0
2017-02-26 23:06:52,242,9,0
2017-02-26 23:06:53,242,11,0
2017-02-26 23:06:54,242,11,0
2017-02-26 23:06:55,242,11,0
2017-02-26 23:06:56,242,11,0
2017-02-26 23:06:58,241,11,0
2017-02-26 23:06:59,242,11,0
2017-02-26 23:07:00,242,11,0
2017-02-26 23:07:01,241,11,0
2017-02-26 23:07:02,242,11,0
2017-02-26 23:07:03,242,11,0
2017-02-26 23:07:04,242,11,0
2017-02-26 23:07:05,242,11,0
2017-02-26 23:07:06,242,11,0
2017-02-26 23:07:07,242,11,0
2017-02-26 23:07:08,242,11,0
2017-02-26 23:07:09,242,11,0
2017-02-26 23:07:10,242,11,0
2017-02-26 23:07:11,241,11,0
2017-02-26 23:07:12,241,11,0
2017-02-26 23:07:13,242,11,0
2017-02-26 23:07:14,242,11,0
2017-02-26 23:07:15,242,11,0
2017-02-26 23:07:16,242,11,0
2017-02-26 23:07:17,242,11,0
2017-02-26 23:07:18,242,11,0
2017-02-26 23:07:19,242,11,0
2017-02-26 23:07:20,242,11,0
2017-02-26 23:07:21,242,11,0
2017-02-26 23:07:22,242,11,0
2017-02-26 23:07:23,242,11,0
2017-02-26 23:07:24,242,11,0
2017-02-26 23:07:25,242,11,0
2017-02-26 23:07:26,243,11,0
2017-02-26 23:07:27,243,11,0
2017-02-26 23:07:28,243,11,0
2017-02-26 23:07:29,243,11,0
2017-02-26 23:07:30,243,11,0
2017-02-26 23:07:31,243,11,0
2017-02-26 23:07:33,243,11,0
2017-02-26 23:07:34,243,11,0
2017-02-26 23:07:35,242,11,0
2017-02-26 23:07:36,242,11,0
2017-02-26 23:07:37,242,11,0
2017-02-26 23:07:38,242,11,0
2017-02-26 23:07:39,242,11,0
2017-02-26 23:07:40,242,11,0
2017-02-26 23:07:41,242,11,0
2017-02-26 23:07:42,242,11,0
2017-02-26 23:07:43,242,11,0
2017-02-26 23:07:44,242,11,0
2017-02-26 23:07:45,242,11,0
2017-02-26 23:07:46,242,11,0
2017-02-26 23:07:47,242,11,0
2017-02-26 23:07:48,242,11,0
2017-02-26 23:07:49,242,11,0
2017-02-26 23:07:50,243,11,0
2017-02-26 23:07:51,243,11,0
2017-02-26 23:07:52,243,11,0
2017-02-26 23:07:53,243,11,0
2017-02-26 23:07:54,243,11,0
2017-02-26 23:07:55,243,11,0
2017-02-26 23:07:56,243,11,0
2017-02-26 23:07:57,243,11,0
2017-02-26 23:07:58,243,11,0
2017-02-26 23:07:59,243,11,0
2017-02-26 23:08:00,243,11,0
2017-02-26 23:08:01,243,11,0
2017-02-26 23:08:02,243,11,0
2017-02-26 23:08:03,243,11,0
2017-02-26 23:08:04,243,11,0
2017-02-26 23:08:05,243,11,0
2017-02-26 23:08:07,243,11,0
2017-02-26 23:08:08,243,11,0
2017-02-26 23:08:09,243,11,0
2017-02-26 23:08:10,243,11,0
2017-02-26 23:08:11,243,11,0
2017-02-26 23:08:12,243,11,0
2017-02-26 23:08:13,243,11,0
2017-02-26 23:08:14,243,11,0
2017-02-26 23:08:15,243,11,0
2017-02-26 23:08:16,243,11,0
2017-02-26 23:08:17,243,11,0
2017-02-26 23:08:18,243,11,0
2017-02-26 23:08:19,243,11,0
2017-02-26 23:08:20,243,11,0
2017-02-26 23:08:21,243,11,0
2017-02-26 23:08:22,243,11,0
2017-02-26 23:08:23,243,11,0
2017-02-26 23:08:24,243,11,0
2017-02-26 23:08:25,243,11,0
2017-02-26 23:08:26,243,11,0
2017-02-26 23:08:27,244,11,0
2017-02-26 23:08:28,244,11,0
2017-02-26 23:08:29,244,11,0
2017-02-26 23:08:30,244,11,0
2017-02-26 23:08:31,244,11,0
2017-02-26 23:08:32,244,11,0
2017-02-26 23:08:33,244,11,0
2017-02-26 23:08:34,244,11,0
2017-02-26 23:08:35,244,11,0
2017-02-26 23:08:36,243,11,0
2017-02-26 23:08:37,244,11,0
2017-02-26 23:08:38,244,11,0
2017-02-26 23:08:39,244,11,0
2017-02-26 23:08:40,244,11,0
2017-02-26 23:08:41,244,11,0
2017-02-26 23:08:43,244,11,0
2017-02-26 23:08:44,244,11,0
2017-02-26 23:08:45,244,11,0
2017-02-26 23:08:46,244,11,0
2017-02-26 23:08:47,244,11,0
2017-02-26 23:08:48,244,11,0
2017-02-26 23:08:49,244,11,0
2017-02-26 23:08:50,244,11,0
2017-02-26 23:08:51,244,11,0
2017-02-26 23:08:52,244,11,0
2017-02-26 23:08:53,244,11,0
2017-02-26 23:08:54,244,11,0
2017-02-26 23:08:55,244,11,0
2017-02-26 23:08:56,244,11,0
2017-02-26 23:08:57,244,11,0
2017-02-26 23:08:58,244,11,0
2017-02-26 23:08:59,244,11,0
2017-02-26 23:09:00,244,11,0
2017-02-26 23:09:01,244,11,0
2017-02-26 23:09:02,244,11,0
2017-02-26 23:09:03,244,11,0
2017-02-26 23:09:04,244,11,0
2017-02-26 23:09:05,244,11,0
2017-02-26 23:09:06,244,11,0
2017-02-26 23:09:07,244,11,0
2017-02-26 23:09:08,244,11,0
2017-02-26 23:09:09,244,11,0
2017-02-26 23:09:10,244,11,0
2017-02-26 23:09:11,244,11,0
2017-02-26 23:09:12,244,11,0
2017-02-26 23:09:13,244,11,0
2017-02-26 23:09:14,244,11,0
2017-02-26 23:09:15,244,11,0
2017-02-26 23:09:16,245,11,0
2017-02-26 23:09:17,245,11,0
2017-02-26 23:09:19,245,11,0
2017-02-26 23:09:20,245,11,0
2017-02-26 23:09:21,245,11,0
2017-02-26 23:09:22,245,11,0
2017-02-26 23:09:23,245,11,0
2017-02-26 23:09:24,245,11,0
2017-02-26 23:09:25,245,11,0
2017-02-26 23:09:26,245,11,0
2017-02-26 23:09:27,245,11,0
2017-02-26 23:09:28,245,11,0
2017-02-26 23:09:29,245,11,0
2017-02-26 23:09:30,245,11,0
2017-02-26 23:09:31,245,11,0
2017-02-26 23:09:32,245,11,0
2017-02-26 23:09:33,245,11,0
2017-02-26 23:09:34,245,11,0
2017-02-26 23:09:35,245,11,0
2017-02-26 23:09:36,245,11,0
2017-02-26 23:09:37,245,11,0
2017-02-26 23:09:38,245,11,0
2017-02-26 23:09:39,245,11,0
2017-02-26 23:09:40,245,11,0
2017-02-26 23:09:41,245,11,0
2017-02-26 23:09:42,245,11,0
2017-02-26 23:09:43,245,11,0
2017-02-26 23:09:44,245,11,0
2017-02-26 23:09:45,245,11,0
2017-02-26 23:09:46,245,11,0
2017-02-26 23:09:47,245,11,0
2017-02-26 23:09:48,245,11,0
2017-02-26 23:09:49,245,11,0
2017-02-26 23:09:50,245,11,0
2017-02-26 23:09:51,245,11,0
2017-02-26 23:09:53,245,11,0
2017-02-26 23:09:54,245,11,0
2017-02-26 23:09:55,245,11,0
2017-02-26 23:09:56,245,11,0
2017-02-26 23:09:57,245,11,0
2017-02-26 23:09:58,245,11,0
2017-02-26 23:09:59,245,11,0
2017-02-26 23:10:00,245,11,0
2017-02-26 23:10:01,244,11,0
2017-02-26 23:10:02,244,11,0
2017-02-26 23:10:03,244,11,0
2017-02-26 23:10:04,244,11,0
2017-02-26 23:10:05,244,11,0
2017-02-26 23:10:06,244,11,0
2017-02-26 23:10:07,244,11,0
2017-02-26 23:10:08,244,11,0
2017-02-26 23:10:09,244,11,0
2017-02-26 23:10:10,244,11,0
2017-02-26 23:10:11,244,11,0
2017-02-26 23:10:12,244,11,0
2017-02-26 23:10:13,244,11,0
2017-02-26 23:10:14,244,11,0
2017-02-26 23:10:15,244,11,0
2017-02-26 23:10:16,244,11,0
2017-02-26 23:10:17,244,11,0
2017-02-26 23:10:18,244,11,0
2017-02-26 23:10:19,244,11,0
2017-02-26 23:10:20,244,11,0
2017-02-26 23:10:21,244,11,0
2017-02-26 23:10:22,244,11,0
2017-02-26 23:10:23,244,11,0
2017-02-26 23:10:24,244,11,0
2017-02-26 23:10:25,244,11,0
2017-02-26 23:10:26,244,11,0
2017-02-26 23:10:27,244,11,0
2017-02-26 23:10:29,245,11,0
2017-02-26 23:10:30,245,11,0
2017-02-26 23:10:31,244,11,0
2017-02-26 23:10:32,244,11,0
2017-02-26 23:10:33,244,11,0
2017-02-26 23:10:34,244,11,0
2017-02-26 23:10:35,244,11,0
2017-02-26 23:10:36,244,11,0
2017-02-26 23:10:37,244,11,0
2017-02-26 23:10:38,243,11,0
2017-02-26 23:10:39,243,11,0
2017-02-26 23:10:40,243,11,0
2017-02-26 23:10:41,243,11,0
2017-02-26 23:10:42,243,11,0
2017-02-26 23:10:43,243,11,0
2017-02-26 23:10:44,243,11,0
2017-02-26 23:10:45,243,11,0
2017-02-26 23:10:46,244,11,0
2017-02-26 23:10:47,244,11,0
2017-02-26 23:10:48,244,11,0
2017-02-26 23:10:49,244,11,0
2017-02-26 23:10:50,243,11,0
2017-02-26 23:10:51,243,11,0
2017-02-26 23:10:52,243,11,0
2017-02-26 23:10:53,243,11,0
2017-02-26 23:10:54,243,11,0
2017-02-26 23:10:55,243,11,0
2017-02-26 23:10:56,243,11,0
2017-02-26 23:10:57,243,11,0
2017-02-26 23:10:58,243,11,0
2017-02-26 23:10:59,243,11,0
2017-02-26 23:11:00,243,11,0
2017-02-26 23:11:01,243,11,0
